question_from_llm,natural_question_arisen_from_code,python_script_path,tables,text,source_dataset,check_if_code_works,bias
"Which states have the highest average interviewed age among individuals living in households that feel unsafe at home (vlh04 in {3,4}) and that received income from an Other Government Program in the last 12 months (in02a10 > 0)? Return the top 10 states by average age.","Which 10 states have the highest average age of interviewed individuals living in households that reported feeling unsafe or very unsafe at home and that received a positive amount directly from an Other Government Program, and how many individuals are included per state?",python_script_for_queries/SQL_TYPE_ALONE/v1/hh09dta_b2/query_000001.py,"[""ii_portad"", ""ii_vlh"", ""ii_in""]","[""ii_portad_enriched.txt"", ""ii_vlh_enriched.txt"", ""ii_in_enriched.txt""]",hh09dta_b2,yes,
"Among households that reported a household member death in the last 5 years (se01a=1), what is the average number of non-agricultural businesses owned/shared (nna02) by state (ent)?","Among households that reported a household member died in the last five years, what is the average number of non-agricultural businesses owned or shared in the last 12 months in each state, and how many such households are there per state, ranked from highest to lowest average?",python_script_for_queries/SQL_TYPE_ALONE/v1/hh09dta_b2/query_000002.py,"[""ii_portad"", ""ii_se"", ""ii_nna""]","[""ii_portad_enriched.txt"", ""ii_se_enriched.txt"", ""ii_nna_enriched.txt""]",hh09dta_b2,yes,
"Among households that use a plot (su01=1) and produced/sold meat in the last 12 months (inr02c=1), what is the average age of interviewed individuals by state (ent)? Return the top 10 states by average age.","Among households that use a plot/land for farming and have produced or sold meat in the last 12 months, which 10 states have the highest average age of interviewed individuals, and how many such individuals are in each state?",python_script_for_queries/SQL_TYPE_ALONE/v1/hh09dta_b2/query_000003.py,"[""ii_portad"", ""ii_inr"", ""ii_su""]","[""ii_portad_enriched.txt"", ""ii_inr_enriched.txt"", ""ii_su_enriched.txt""]",hh09dta_b2,yes,
"Among individuals in Oaxaca (ent=20) whose households reported a disease/accident/hospitalization in the last 5 years and also produced/sold eggs in the last 12 months, which are the top 5 households with the highest average age of members older than the subgroup's average age?","Which five households (by ID) in Oaxaca that reported a household member’s disease/accident/hospitalization in the last five years and produced/sold eggs in the last 12 months have the highest average member age, and what are their average ages and numbers of individuals?",python_script_for_queries/SQL_TYPE_ALONE/v1/hh09dta_b2/query_000004.py,"[""ii_portad"", ""ii_inr"", ""ii_se""]","[""ii_portad_enriched.txt"", ""ii_inr_enriched.txt"", ""ii_se_enriched.txt""]",hh09dta_b2,yes,
"Which states have an average age of interviewed individuals in households that both experienced a natural-disaster loss (se01d=1) and use agricultural plots (su01=1) higher than the overall average age for such households? Return state code, average age, and number of individuals, sorted by average age descending.","Among individuals living in households that both reported losing their home or business to a natural disaster in the last five years and use a plot of land for farming, what is the average age and the number of individuals in each state, ordered by highest average age?",python_script_for_queries/SQL_TYPE_ALONE/v1/hh09dta_b2/query_000005.py,"[""ii_portad"", ""ii_se"", ""ii_su""]","[""ii_portad_enriched.txt"", ""ii_se_enriched.txt"", ""ii_su_enriched.txt""]",hh09dta_b2,yes,
"Among households that received Liconsa milk and use agricultural plots, which states have an average direct income from Other Government Programs (in02a10) above the overall average across such households?","What are the top 10 states with the highest average amount received directly from Other Government Program in the last 12 months among households that both received Liconsa milk and use land for farming, and how many such households are in each state?",python_script_for_queries/SQL_TYPE_ALONE/v1/hh09dta_b2/query_000006.py,"[""ii_portad"", ""ii_in"", ""ii_su""]","[""ii_portad_enriched.txt"", ""ii_in_enriched.txt"", ""ii_su_enriched.txt""]",hh09dta_b2,yes,
"Which 5 states have the highest average number of times households were robbed since 2005 (vlh18a) among households that received Liconsa milk in the last 12 months (in03a=1) and have at least one member aged 50 or older, and how many such households are in each of those states?","Which five states have the highest average number of times households have been entered or robbed (house, business, or parcel) since 2005, among households that received Liconsa milk in the last 12 months and include at least one person aged 50 or older, and how many such households are in each state?",python_script_for_queries/SQL_TYPE_ALONE/v1/hh09dta_b2/query_000007.py,"[""ii_portad"", ""ii_in"", ""ii_vlh""]","[""ii_portad_enriched.txt"", ""ii_in_enriched.txt"", ""ii_vlh_enriched.txt""]",hh09dta_b2,yes,
"Among households that own/share a non-ag business (nna01=1), what is the average age and count of interviewed individuals who are older than the overall business-owner average age, grouped by how safe they feel at home (vlh04)?","Among interviewed individuals living in households that own or share a non‑agricultural business, what is the average age and the number of individuals for each 'Feel safe at home?' response category, sorted from highest to lowest average age?",python_script_for_queries/SQL_TYPE_ALONE/v1/hh09dta_b2/query_000008.py,"[""ii_portad"", ""ii_nna"", ""ii_vlh""]","[""ii_portad_enriched.txt"", ""ii_nna_enriched.txt"", ""ii_vlh_enriched.txt""]",hh09dta_b2,yes,
"By state, what is the average age of interviewed individuals living in households that both use land for farming (su01 = 1) and reported a total crop loss in the last five years (se01e = 1)?","By state, what is the average age of interviewed individuals and the number of individuals in households that use a plot of land for farming and reported a total crop loss in the last five years, ranked by highest average age?",python_script_for_queries/SQL_TYPE_ALONE/v1/hh09dta_b2/query_000009.py,"[""ii_portad"", ""ii_su"", ""ii_se""]","[""ii_portad_enriched.txt"", ""ii_su_enriched.txt"", ""ii_se_enriched.txt""]",hh09dta_b2,yes,
"Among households in Oaxaca (ent=20) that own/share a non-ag business and reported total debts+interests, which households have total debts above the Oaxaca average for such households? Show folio, state, household size, and debt amount; return the top 10 by debt.","Among households in Oaxaca (State=20) with at least one member who owns/shares a non‑agricultural business, which 10 Household IDs have the highest reported total debts plus interest (in pesos), and what is each household’s size?",python_script_for_queries/SQL_TYPE_ALONE/v1/hh09dta_b2/query_000010.py,"[""ii_portad"", ""ii_nna"", ""ii_crh""]","[""ii_portad_enriched.txt"", ""ii_nna_enriched.txt"", ""ii_crh_enriched.txt""]",hh09dta_b2,yes,
